Exercício: 2017
Período: 1o. bimestre
Escopo: Estados/DF
Anexo 01 - Balanço Orçamentário
Tabela: Receitas Orçamentárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";3589833813,88
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITAS CORRENTES";"siconfi-cor_ReceitasCorrentes";3561715046,09
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA TRIBUTÁRIA";"siconfi-cor_ReceitaTributaria";2296792525,31
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Impostos";"siconfi-cor_Impostos";2203791555,15
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Taxas";"siconfi-cor_Taxas";93000970,16
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA DE CONTRIBUIÇÕES";"siconfi-cor_ReceitaDeContribuicoes";140305654,89
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Contribuições Sociais";"siconfi-cor_ContribuicoesSociais";140305654,89
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA PATRIMONIAL";"siconfi-cor_ReceitaPatrimonial";136973133,1
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receitas Imobiliárias";"siconfi-cor_ReceitasImobiliarias";1751162,64
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receitas de Valores Mobiliários";"siconfi-cor_ReceitasDeValoresMobiliarios";132010767,31
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita de Concessões e Permissões";"siconfi-cor_ReceitaDeConcessoesEPermissoes";857212,43
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Cessão de Direitos";"siconfi-cor_ReceitaDaCessaoDeDireitos";2353990,72
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA AGROPECUÁRIA";"siconfi-cor_ReceitaAgropecuaria";82575,18
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Produção Vegetal";"siconfi-cor_ReceitaDaProducaoVegetal";24740,00
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Produção Animal e Derivados";"siconfi-cor_ReceitaDaProducaoAnimalEDerivados";57835,18
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA INDUSTRIAL";"siconfi-cor_ReceitaIndustrial";444071,35
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Indústria de Transformação";"siconfi-cor_ReceitaDaIndustriaDeTransformacao";432,00
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Indústria de Construção";"siconfi-cor_ReceitaDaIndustriaDeConstrucao";443639,35
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITA DE SERVIÇOS";"siconfi-cor_ReceitaDeServicos";82249865,26
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"TRANSFERÊNCIAS CORRENTES";"siconfi-cor_TransferenciasCorrentes";784444098,7
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasCorrentesIntergovernamentais";726855287,37
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasCorrentesDeInstituicoesPrivadas";43198808,33
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências de Pessoas";"siconfi-cor_TransferenciasCorrentesDePessoas";138655,53
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências de Convênios";"siconfi-cor_TransferenciasCorrentesDeConvenios";14251347,47
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"OUTRAS RECEITAS CORRENTES";"siconfi-cor_OutrasReceitasCorrentes";120423122,3
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Multas e Juros de Mora";"siconfi-cor_MultasEJurosDeMora";38135075,86
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Indenizações e Restituições";"siconfi-cor_IndenizacoesERestituicoes";14391975,74
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receita da Dívida Ativa";"siconfi-cor_ReceitaDaDividaAtiva";27404991,45
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Receitas Correntes Diversas";"siconfi-cor_ReceitasCorrentesDiversas";40491079,25
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITAS DE CAPITAL";"siconfi-cor_ReceitasDeCapital";28118767,79
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"OPERAÇÕES DE CRÉDITO";"siconfi-cor_ReceitasDeOperacoesDeCredito";10246201,32
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Operações de Crédito Externas";"siconfi-cor_OperacoesDeCreditoExternas";10246201,32
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"ALIENAÇÃO DE BENS";"siconfi-cor_AlienacaoDeBens";67084,07
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Alienação de Bens Imóveis";"siconfi-cor_AlienacaoDeBensImoveis";67084,07
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"AMORTIZAÇÕES DE EMPRÉSTIMOS";"siconfi-cor_AmortizacoesDeEmprestimos";4236599,88
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"TRANSFERÊNCIAS DE CAPITAL";"siconfi-cor_TransferenciasDeCapital";13568882,52
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências Intergovernamentais";"siconfi-cor_TransferenciasDeCapitalIntergovernamentais";2395,00
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências de Instituições Privadas";"siconfi-cor_TransferenciasDeCapitalDeInstituicoesPrivadas";7249,00
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"Transferências de Convênios";"siconfi-cor_TransferenciasDeCapitalDeConvenios";13559238,52
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"RECEITAS (INTRA-ORÇAMENTÁRIAS) (II)";"siconfi-cor_ReceitasIntraOrcamentariasTotal";263504823,35
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"SUBTOTAL DAS RECEITAS (III) = (I + II)";"siconfi-cor_SubtotalDasReceitas";3853338637,23
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV)";"siconfi-cor_SubtotalReceitasComRefinanciamento";3853338637,23
Governo do Estado de Santa Catarina;42;SC;6910553;"No Bimestre (b)";"TOTAL (VII) = (V + VI)";"siconfi-cor_TotalReceitas";3853338637,23
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";"siconfi-cor_ReceitasExcetoIntraOrcamentarias";14,52
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITAS CORRENTES";"siconfi-cor_ReceitasCorrentes";15,27
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA TRIBUTÁRIA";"siconfi-cor_ReceitaTributaria";15,67
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Impostos";"siconfi-cor_Impostos";15,8
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Taxas";"siconfi-cor_Taxas";13,18
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA DE CONTRIBUIÇÕES";"siconfi-cor_ReceitaDeContribuicoes";15,92
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Contribuições Sociais";"siconfi-cor_ContribuicoesSociais";15,92
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA PATRIMONIAL";"siconfi-cor_ReceitaPatrimonial";15,45
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receitas Imobiliárias";"siconfi-cor_ReceitasImobiliarias";10,3
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receitas de Valores Mobiliários";"siconfi-cor_ReceitasDeValoresMobiliarios";15,52
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita de Concessões e Permissões";"siconfi-cor_ReceitaDeConcessoesEPermissoes";7,55
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita da Cessão de Direitos";"siconfi-cor_ReceitaDaCessaoDeDireitos";35,93
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA AGROPECUÁRIA";"siconfi-cor_ReceitaAgropecuaria";7,54
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita da Produção Vegetal";"siconfi-cor_ReceitaDaProducaoVegetal";3,75
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita da Produção Animal e Derivados";"siconfi-cor_ReceitaDaProducaoAnimalEDerivados";13,27
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA INDUSTRIAL";"siconfi-cor_ReceitaIndustrial";12,08
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita da Indústria de Transformação";"siconfi-cor_ReceitaDaIndustriaDeTransformacao";1,1
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"Receita da Indústria de Construção";"siconfi-cor_ReceitaDaIndustriaDeConstrucao";12,2
Governo do Estado de Santa Catarina;42;SC;6910553;"% (b/a)";"RECEITA DE SERVIÇOS";"siconfi-cor_ReceitaDeServicos";11,39
